MODEL_CATALOG	MODEL_SCHEMA	MODEL_NAME	ATTRIBUTE_NAME	NODE_NAME	NODE_UNIQUE_NAME	NODE_TYPE	NODE_GUID	NODE_CAPTION	CHILDREN_CARDINALITY	PARENT_UNIQUE_NAME	NODE_DESCRIPTION	NODE_RULE	MARGINAL_RULE	NODE_PROBABILITY	MARGINAL_PROBABILITY	NODE_DISTRIBUTION	NODE_SUPPORT	MSOLAP_MODEL_COLUMN	MSOLAP_NODE_SCORE	MSOLAP_NODE_SHORT_CAPTION
Analysis Services Project2		Process Events		1186	1186	7		Process = HPBPRO.EXE, Duration < 2827, Status = Process Run	0	0	Process = HPBPRO.EXE, Duration < 2827, Status = Process Run			0,35171035474475681	0,35171035474475681	NODE_DISTRIBUTION	57722		0,35652396446459256	
Analysis Services Project2		Process Events		1184	1184	7		Process = HPBPRO.EXE, User Domain Name = NT AUTHORITY, Duration < 2827	0	0	Process = HPBPRO.EXE, User Domain Name = NT AUTHORITY, Duration < 2827			0,35166770250673296	0,35166770250673296	NODE_DISTRIBUTION	57715		0,30370528233797228	
Analysis Services Project2		Process Events		1182	1182	7		Process = HPBPRO.EXE, User Name = SYSTEM, Duration < 2827	0	0	Process = HPBPRO.EXE, User Name = SYSTEM, Duration < 2827			0,35166770250673296	0,35166770250673296	NODE_DISTRIBUTION	57715		0,30370528233797228	
Analysis Services Project2		Process Events		94	94	7		Process = klnagent.exe	0	0	Process = klnagent.exe			0,21765437063576207	0,21765437063576207	NODE_DISTRIBUTION	35721		1	
Analysis Services Project2		Process Events		1161	1161	7		Process = klnagent.exe, Status = Process Run	0	0	Process = klnagent.exe, Status = Process Run			0,21765437063576207	0,21765437063576207	NODE_DISTRIBUTION	35721		1	
Analysis Services Project2		Process Events		1168	1168	7		Process = klnagent.exe, User Name = SYSTEM, Status = Process Run	0	0	Process = klnagent.exe, User Name = SYSTEM, Status = Process Run			0,21764218428204096	0,21764218428204096	NODE_DISTRIBUTION	35719		0,2176543706357621	
Analysis Services Project2		Process Events		1158	1158	7		Process = klnagent.exe, User Name = SYSTEM	0	0	Process = klnagent.exe, User Name = SYSTEM			0,21764218428204096	0,21764218428204096	NODE_DISTRIBUTION	35719		0,83324593644407785	
Analysis Services Project2		Process Events		1166	1166	7		Process = klnagent.exe, User Name = SYSTEM, User Domain Name = NT AUTHORITY	0	0	Process = klnagent.exe, User Name = SYSTEM, User Domain Name = NT AUTHORITY			0,21764218428204096	0,21764218428204096	NODE_DISTRIBUTION	35719		0,18134946565182378	
Analysis Services Project2		Process Events		1159	1159	7		Process = klnagent.exe, User Domain Name = NT AUTHORITY	0	0	Process = klnagent.exe, User Domain Name = NT AUTHORITY			0,21764218428204096	0,21764218428204096	NODE_DISTRIBUTION	35719		0,83324593644407785	
Analysis Services Project2		Process Events		1170	1170	7		Process = klnagent.exe, User Domain Name = NT AUTHORITY, Status = Process Run	0	0	Process = klnagent.exe, User Domain Name = NT AUTHORITY, Status = Process Run			0,21764218428204096	0,21764218428204096	NODE_DISTRIBUTION	35719		0,2176543706357621	
Analysis Services Project2		Process Events		1165	1165	7		Process = klnagent.exe, Parent = Unknown Process, Status = Process Run	0	0	Process = klnagent.exe, Parent = Unknown Process, Status = Process Run			0,21744110944564277	0,21744110944564277	NODE_DISTRIBUTION	35686		0,21765437063576215	
Analysis Services Project2		Process Events		1157	1157	7		Process = klnagent.exe, Parent = Unknown Process	0	0	Process = klnagent.exe, Parent = Unknown Process			0,21744110944564277	0,21744110944564277	NODE_DISTRIBUTION	35686		0,64178946378183888	
Analysis Services Project2		Process Events		1163	1163	7		Process = klnagent.exe, Parent = Unknown Process, User Domain Name = NT AUTHORITY	0	0	Process = klnagent.exe, Parent = Unknown Process, User Domain Name = NT AUTHORITY			0,21742892309192166	0,21742892309192166	NODE_DISTRIBUTION	35684		0,18135962984113285	
Analysis Services Project2		Process Events		1162	1162	7		Process = klnagent.exe, Parent = Unknown Process, User Name = SYSTEM	0	0	Process = klnagent.exe, Parent = Unknown Process, User Name = SYSTEM			0,21742892309192166	0,21742892309192166	NODE_DISTRIBUTION	35684		0,18135962984113285	
Analysis Services Project2		Process Events		1171	1171	7		Process = klnagent.exe, Duration < 2827, Status = Process Run	0	0	Process = klnagent.exe, Duration < 2827, Status = Process Run			0,21357803531605307	0,21357803531605307	NODE_DISTRIBUTION	35052		0,2176543706357621	
Analysis Services Project2		Process Events		1160	1160	7		Process = klnagent.exe, Duration < 2827	0	0	Process = klnagent.exe, Duration < 2827			0,21357803531605307	0,21357803531605307	NODE_DISTRIBUTION	35052		0,85641642281338992	
Analysis Services Project2		Process Events		1167	1167	7		Process = klnagent.exe, User Name = SYSTEM, Duration < 2827	0	0	Process = klnagent.exe, User Name = SYSTEM, Duration < 2827			0,21357194213919253	0,21357194213919253	NODE_DISTRIBUTION	35051		0,18639765866285621	
Analysis Services Project2		Process Events		1169	1169	7		Process = klnagent.exe, User Domain Name = NT AUTHORITY, Duration < 2827	0	0	Process = klnagent.exe, User Domain Name = NT AUTHORITY, Duration < 2827			0,21357194213919253	0,21357194213919253	NODE_DISTRIBUTION	35051		0,18639765866285621	
Analysis Services Project2		Process Events		1164	1164	7		Process = klnagent.exe, Parent = Unknown Process, Duration < 2827	0	0	Process = klnagent.exe, Parent = Unknown Process, Duration < 2827			0,21337696047965488	0,21337696047965488	NODE_DISTRIBUTION	35019		0,1863956208478505	
Analysis Services Project2		Process Events		1172	1172	7		Process = HPBPRO.EXE, Parent = Unknown Process	0	0	Process = HPBPRO.EXE, Parent = Unknown Process			0,21315760611267504	0,21315760611267504	NODE_DISTRIBUTION	34983		1,0723948970857622	
Analysis Services Project2		Process Events		1180	1180	7		Process = HPBPRO.EXE, Parent = Unknown Process, Status = Process Run	0	0	Process = HPBPRO.EXE, Parent = Unknown Process, Status = Process Run			0,21315760611267504	0,21315760611267504	NODE_DISTRIBUTION	34983		0,35652396446459256	
Analysis Services Project2		Process Events		1177	1177	7		Process = HPBPRO.EXE, Parent = Unknown Process, User Name = SYSTEM	0	0	Process = HPBPRO.EXE, Parent = Unknown Process, User Name = SYSTEM			0,21310276752093008	0,21310276752093008	NODE_DISTRIBUTION	34974		0,29713195421080574	
Analysis Services Project2		Process Events		1178	1178	7		Process = HPBPRO.EXE, Parent = Unknown Process, User Domain Name = NT AUTHORITY	0	0	Process = HPBPRO.EXE, Parent = Unknown Process, User Domain Name = NT AUTHORITY			0,21310276752093008	0,21310276752093008	NODE_DISTRIBUTION	34974		0,29713195421080574	
Analysis Services Project2		Process Events		1179	1179	7		Process = HPBPRO.EXE, Parent = Unknown Process, Duration < 2827	0	0	Process = HPBPRO.EXE, Parent = Unknown Process, Duration < 2827			0,20835008956969986	0,20835008956969986	NODE_DISTRIBUTION	34194		0,30652792925156147	
Analysis Services Project2		Process Events		93	93	7		Parent = svchost.exe	0	0	Parent = svchost.exe			0,19262360009261628	0,19262360009261628	NODE_DISTRIBUTION	31613		1	
Analysis Services Project2		Process Events		1146	1146	7		Parent = svchost.exe, Status = Process Run	0	0	Parent = svchost.exe, Status = Process Run			0,19262360009261628	0,19262360009261628	NODE_DISTRIBUTION	31613		1,0000000000000002	
Analysis Services Project2		Process Events		1155	1155	7		Parent = svchost.exe, User Domain Name = NT AUTHORITY, Status = Process Run	0	0	Parent = svchost.exe, User Domain Name = NT AUTHORITY, Status = Process Run			0,19258704103145297	0,19258704103145297	NODE_DISTRIBUTION	31607		0,19262360009261634	
Analysis Services Project2		Process Events		1153	1153	7		Parent = svchost.exe, User Name = SYSTEM, Status = Process Run	0	0	Parent = svchost.exe, User Name = SYSTEM, Status = Process Run			0,19258704103145297	0,19258704103145297	NODE_DISTRIBUTION	31607		0,19262360009261634	
Analysis Services Project2		Process Events		1151	1151	7		Parent = svchost.exe, User Name = SYSTEM, User Domain Name = NT AUTHORITY	0	0	Parent = svchost.exe, User Name = SYSTEM, User Domain Name = NT AUTHORITY			0,19258704103145297	0,19258704103145297	NODE_DISTRIBUTION	31607		0,16049384557126353	
Analysis Services Project2		Process Events		1144	1144	7		Parent = svchost.exe, User Domain Name = NT AUTHORITY	0	0	Parent = svchost.exe, User Domain Name = NT AUTHORITY			0,19258704103145297	0,19258704103145297	NODE_DISTRIBUTION	31607		0,8333574508009185	
Analysis Services Project2		Process Events		1143	1143	7		Parent = svchost.exe, User Name = SYSTEM	0	0	Parent = svchost.exe, User Name = SYSTEM			0,19258704103145297	0,19258704103145297	NODE_DISTRIBUTION	31607		0,8333574508009185	
Analysis Services Project2		Process Events		1145	1145	7		Parent = svchost.exe, Duration < 2827	0	0	Parent = svchost.exe, Duration < 2827			0,1826734422793356	0,1826734422793356	NODE_DISTRIBUTION	29980		0,88615208633668219	
Analysis Services Project2		Process Events		1156	1156	7		Parent = svchost.exe, Duration < 2827, Status = Process Run	0	0	Parent = svchost.exe, Duration < 2827, Status = Process Run			0,1826734422793356	0,1826734422793356	NODE_DISTRIBUTION	29980		0,19262360009261631	
Analysis Services Project2		Process Events		1152	1152	7		Parent = svchost.exe, User Name = SYSTEM, Duration < 2827	0	0	Parent = svchost.exe, User Name = SYSTEM, Duration < 2827			0,18263688321817229	0,18263688321817229	NODE_DISTRIBUTION	29974		0,17069557010004272	
Analysis Services Project2		Process Events		1154	1154	7		Parent = svchost.exe, User Domain Name = NT AUTHORITY, Duration < 2827	0	0	Parent = svchost.exe, User Domain Name = NT AUTHORITY, Duration < 2827			0,18263688321817229	0,18263688321817229	NODE_DISTRIBUTION	29974		0,17069557010004272	
Analysis Services Project2		Process Events		92	92	7		User Domain Name = ACH	0	0	User Domain Name = ACH			0,16229176568079065	0,16229176568079065	NODE_DISTRIBUTION	26635		1	
Analysis Services Project2		Process Events		1138	1138	7		User Domain Name = ACH, Status = Process Run	0	0	User Domain Name = ACH, Status = Process Run			0,16229176568079065	0,16229176568079065	NODE_DISTRIBUTION	26635		1	
Analysis Services Project2		Process Events		1148	1148	7		Parent = svchost.exe, Process = HPBPRO.EXE, User Domain Name = NT AUTHORITY	0	0	Parent = svchost.exe, Process = HPBPRO.EXE, User Domain Name = NT AUTHORITY			0,14336635835191752	0,14336635835191752	NODE_DISTRIBUTION	23529		0,16049384557126356	
Analysis Services Project2		Process Events		1147	1147	7		Parent = svchost.exe, Process = HPBPRO.EXE, User Name = SYSTEM	0	0	Parent = svchost.exe, Process = HPBPRO.EXE, User Name = SYSTEM			0,14336635835191752	0,14336635835191752	NODE_DISTRIBUTION	23529		0,16049384557126356	
Analysis Services Project2		Process Events		1150	1150	7		Parent = svchost.exe, Process = HPBPRO.EXE, Status = Process Run	0	0	Parent = svchost.exe, Process = HPBPRO.EXE, Status = Process Run			0,14336635835191752	0,14336635835191752	NODE_DISTRIBUTION	23529		0,19262360009261631	
Analysis Services Project2		Process Events		1142	1142	7		Parent = svchost.exe, Process = HPBPRO.EXE	0	0	Parent = svchost.exe, Process = HPBPRO.EXE			0,14336635835191752	0,14336635835191752	NODE_DISTRIBUTION	23529		0,47901704656462946	
Analysis Services Project2		Process Events		1149	1149	7		Parent = svchost.exe, Process = HPBPRO.EXE, Duration < 2827	0	0	Parent = svchost.exe, Process = HPBPRO.EXE, Duration < 2827			0,14336026517505698	0,14336026517505698	NODE_DISTRIBUTION	23528		0,16188333215615622	
Analysis Services Project2		Process Events		1137	1137	7		User Domain Name = ACH, Duration < 2827	0	0	User Domain Name = ACH, Duration < 2827			0,1080259325607185	0,1080259325607185	NODE_DISTRIBUTION	17729		1,2625327212172333	
Analysis Services Project2		Process Events		1141	1141	7		User Domain Name = ACH, Duration < 2827, Status = Process Run	0	0	User Domain Name = ACH, Duration < 2827, Status = Process Run			0,1080259325607185	0,1080259325607185	NODE_DISTRIBUTION	17729		0,16229176568079065	
Analysis Services Project2		Process Events		91	91	7		Parent = Explorer.EXE	0	0	Parent = Explorer.EXE			0,10560084817021899	0,10560084817021899	NODE_DISTRIBUTION	17331		1	
Analysis Services Project2		Process Events		1132	1132	7		Parent = Explorer.EXE, Status = Process Run	0	0	Parent = Explorer.EXE, Status = Process Run			0,10560084817021899	0,10560084817021899	NODE_DISTRIBUTION	17331		1	
Analysis Services Project2		Process Events		1134	1134	7		Parent = Explorer.EXE, User Domain Name = ACH, Status = Process Run	0	0	Parent = Explorer.EXE, User Domain Name = ACH, Status = Process Run			0,10440049232869034	0,10440049232869034	NODE_DISTRIBUTION	17134		0,10560084817021899	
Analysis Services Project2		Process Events		1130	1130	7		Parent = Explorer.EXE, User Domain Name = ACH	0	0	Parent = Explorer.EXE, User Domain Name = ACH			0,10440049232869034	0,10440049232869034	NODE_DISTRIBUTION	17134		0,16415773263766678	
Analysis Services Project2		Process Events		1135	1135	7		Parent = Explorer.EXE, Duration < 2827, Status = Process Run	0	0	Parent = Explorer.EXE, Duration < 2827, Status = Process Run			0,067494120084329562	0,067494120084329562	NODE_DISTRIBUTION	11077		0,10560084817021902	
Analysis Services Project2		Process Events		1131	1131	7		Parent = Explorer.EXE, Duration < 2827	0	0	Parent = Explorer.EXE, Duration < 2827			0,067494120084329562	0,067494120084329562	NODE_DISTRIBUTION	11077		1,3148482965139274	
Analysis Services Project2		Process Events		1133	1133	7		Parent = Explorer.EXE, User Domain Name = ACH, Duration < 2827	0	0	Parent = Explorer.EXE, User Domain Name = ACH, Duration < 2827			0,066543584494083513	0,066543584494083513	NODE_DISTRIBUTION	10921		0,139231641494418	
Analysis Services Project2		Process Events		90	90	7		Duration = 30083 - 37171	0	0	Duration = 30083 - 37171			0,059359728975493242	0,059359728975493242	NODE_DISTRIBUTION	9742		1	
Analysis Services Project2		Process Events		1112	1112	7		Duration = 30083 - 37171, Status = Process Run	0	0	Duration = 30083 - 37171, Status = Process Run			0,059359728975493242	0,059359728975493242	NODE_DISTRIBUTION	9742		1,0000000000000002	
Analysis Services Project2		Process Events		89	89	7		Duration = 2827 - 17332	0	0	Duration = 2827 - 17332			0,047484127274278261	0,047484127274278261	NODE_DISTRIBUTION	7793		1	
Analysis Services Project2		Process Events		1087	1087	7		Duration = 2827 - 17332, Status = Process Run	0	0	Duration = 2827 - 17332, Status = Process Run			0,047484127274278261	0,047484127274278261	NODE_DISTRIBUTION	7793		1,0000000000000002	
Analysis Services Project2		Process Events		88	88	7		Duration = 17332 - 30083	0	0	Duration = 17332 - 30083			0,042390231418857165	0,042390231418857165	NODE_DISTRIBUTION	6957		1	
